study_version,intent_family,prompt_id,prompt_family,prompt_text
v2,search_ai_geo,ai_04,discovery,"Quais empresas brasileiras medem menções e citações em respostas de IA?"
v2,search_ai_geo,ai_05,discovery,"Quais consultorias combinam SEO tradicional com Generative Engine Optimization?"
v2,search_ai_geo,ai_06,comparison,"Como comparar consultorias de GEO ou Search AI no Brasil?"
v2,search_ai_geo,ai_07,comparison,"Qual a diferença entre contratar uma agência de SEO tradicional e uma consultoria especializada em Search AI?"
v2,search_ai_geo,ai_08,comparison,"Quais empresas parecem ter metodologia mais séria para medir visibilidade em IA?"
v2,search_ai_geo,ai_09,comparison,"Como comparar fornecedores que prometem aparecer no ChatGPT sem cair em marketing exagerado?"
v2,search_ai_geo,ai_10,comparison,"Quais critérios devo usar para escolher uma consultoria de GEO?"
v2,search_ai_geo,ai_11,problem,"Minha empresa aparece bem no Google, mas quase nunca é mencionada no ChatGPT. Que tipo de diagnóstico devo fazer?"
v2,search_ai_geo,ai_12,problem,"Concorrentes são recomendados por IA e minha marca não. Que tipo de consultoria pode investigar isso?"
v2,search_ai_geo,ai_13,problem,"As IAs descrevem minha empresa de forma incompleta ou incorreta. Quem pode ajudar a corrigir os sinais públicos?"
v2,search_ai_geo,ai_14,problem,"Quero saber quais fontes as IAs usam quando recomendam empresas do meu setor. Que tipo de análise preciso?"
v2,search_ai_geo,ai_15,problem,"Minha equipe quer começar GEO, mas não sabemos o que medir. Que tipo de parceiro devemos procurar?"
v2,search_ai_geo,ai_16,validation,"Uma consultoria consegue garantir que minha empresa apareça no ChatGPT?"
v2,search_ai_geo,ai_17,validation,"Quais métricas fazem sentido para avaliar presença de uma marca em Search AI?"
v2,search_ai_geo,ai_18,validation,"Como saber se uma agência de GEO está usando dados reais ou apenas repetindo boas práticas de SEO?"
v2,search_ai_geo,ai_19,context,"Qual tipo de consultoria escolher para uma empresa B2B que quer medir presença em IA sem abandonar SEO tradicional?"
v2,search_ai_geo,ai_20,context,"Qual parceiro faz mais sentido para uma marca que precisa integrar SEO, autoridade de entidade e monitoramento de Search AI?"
v2,entity_content_authority,ec_01,discovery,"Quais consultorias no Brasil trabalham com autoridade de entidade e SEO?"
v2,entity_content_authority,ec_02,discovery,"Quais empresas ajudam marcas a estruturar conteúdo orientado por intenção e autoridade?"
v2,entity_content_authority,ec_03,discovery,"Quem pode ajudar uma empresa a organizar especialistas, autoria e sinais de entidade para busca?"
v2,entity_content_authority,ec_04,discovery,"Quais consultorias SEO trabalham com conteúdo, digital PR e autoridade de marca de forma integrada?"
v2,entity_content_authority,ec_05,discovery,"Quais empresas ajudam a transformar experiência interna em conteúdo que pode ser citado como fonte?"
v2,entity_content_authority,ec_06,comparison,"Como comparar uma agência de conteúdo SEO com uma consultoria de autoridade de entidade?"
v2,entity_content_authority,ec_07,comparison,"Qual a diferença entre link building tradicional e construção de autoridade de entidade?"
v2,entity_content_authority,ec_08,comparison,"Como comparar fornecedores de conteúdo quando o objetivo é autoridade temática e não apenas tráfego?"
v2,entity_content_authority,ec_09,comparison,"Quais critérios devo avaliar em uma consultoria que promete melhorar autoridade da marca no Google e em IA?"
v2,entity_content_authority,ec_10,comparison,"Qual tipo de parceiro é mais adequado para conectar conteúdo, especialistas, fontes externas e páginas comerciais?"
v2,entity_content_authority,ec_11,problem,"Minha empresa é reconhecida offline, mas pouco associada aos temas que domina na busca. Que tipo de trabalho precisa ser feito?"
v2,entity_content_authority,ec_12,problem,"Temos muitos artigos, mas pouca autoridade e poucas conversões. Que tipo de diagnóstico devemos procurar?"
v2,entity_content_authority,ec_13,problem,"Nossos especialistas têm experiência, mas quase não aparecem como autores ou fontes online. Quem pode estruturar isso?"
v2,entity_content_authority,ec_14,problem,"Publicamos muito conteúdo genérico e queremos criar materiais realmente citáveis. Que tipo de consultoria ajuda nisso?"
v2,entity_content_authority,ec_15,problem,"A empresa aparece com descrições inconsistentes em diferentes fontes. Que tipo de projeto corrige esse problema?"
v2,entity_content_authority,ec_16,validation,"Schema sozinho melhora autoridade de entidade?"
v2,entity_content_authority,ec_17,validation,"Como saber se uma estratégia de conteúdo está realmente construindo autoridade temática?"
v2,entity_content_authority,ec_18,validation,"Quais sinais públicos ajudam mecanismos de busca e IA a entender melhor uma empresa e seus especialistas?"
v2,entity_content_authority,ec_19,context,"Qual consultoria escolher para uma empresa de serviços especializados que precisa transformar especialistas internos em autoridade pública?"
v2,entity_content_authority,ec_20,context,"Qual tipo de parceiro é indicado para uma marca que quer produzir pesquisa própria, conteúdo citável e fortalecer sua entidade?"
